frame_index,human_id,object_id,distance
0,1,4,near
5,1,4,near
10,1,4,near
15,1,4,near
20,1,4,near
25,1,4,near
30,1,4,near
35,1,4,near
40,1,4,near
45,1,4,near
50,1,4,near
55,1,4,near
60,1,4,near
65,1,4,near
70,1,4,near
75,1,4,near
80,1,4,near
85,1,4,near
90,1,4,near
95,1,4,near
100,1,4,near
105,1,4,near
110,1,4,near
115,1,4,near
120,1,4,near
125,1,4,near
130,1,4,near
135,1,4,near
140,1,4,near
145,1,4,near
150,1,4,near
155,1,4,near
160,1,4,near
165,1,4,near
170,1,4,near
175,1,4,near
180,1,4,near
185,1,4,near
190,1,4,near
195,1,4,near
200,1,4,near
205,1,4,near
210,1,4,near
215,1,4,near
220,1,4,near
225,1,4,near
230,1,4,near
235,1,4,near
240,1,4,near
245,1,4,near
250,1,4,near
255,1,4,near
260,1,4,near
265,1,4,near
270,1,4,near
275,1,4,near
280,1,4,near
285,1,4,near
290,1,4,near
295,1,4,near
300,1,4,near
305,1,4,near
310,1,4,near
315,1,4,near
320,1,4,near
325,1,4,near
330,1,4,near
335,1,4,near
340,1,4,near
345,1,4,near
350,1,4,near
355,1,4,near
360,1,4,near
365,1,4,near
370,1,4,near
375,1,4,near
380,1,4,near
385,1,4,near
390,1,4,near
395,1,4,near
400,1,4,near
405,1,4,near
410,1,4,near
415,1,4,near
420,1,4,near
425,1,4,near
430,1,4,near
435,1,4,near
440,1,4,near
445,1,4,near
450,1,4,near
455,1,4,near
460,1,4,near
465,1,4,near
470,1,4,near
475,1,4,near
480,1,4,near
485,1,4,near
490,1,4,near
495,1,4,near
500,1,4,near
505,1,4,near
510,1,4,near
515,1,4,near
520,1,4,near
525,1,4,near
530,1,4,near
535,1,4,near
540,1,4,near
545,1,4,near
550,1,4,near
555,1,4,near
560,1,4,near
565,1,4,near
570,1,4,near
575,1,4,near
580,1,4,near
585,1,4,near
590,1,4,near
595,1,4,near
600,1,4,near
605,1,4,near
610,1,4,near
615,1,4,near
620,1,4,near
625,1,4,near
630,1,4,near
635,1,4,near
640,1,4,near
645,1,4,near
650,1,4,near
655,1,4,near
660,1,4,near
665,1,4,near
670,1,4,near
675,1,4,near
680,1,4,near
685,1,4,near
690,1,4,near
695,1,4,near
700,1,4,near
705,1,4,near
710,1,4,near
715,1,4,near
720,1,4,near
725,1,4,near
730,1,4,near
735,1,4,near
740,1,4,near
745,1,4,near
750,1,4,near
